;p_mw;q_mvar;va_degree;vm_pu
0;0,0;0,0;0,0;0,0
1;0,0;0,0;0,0;0,0
2;0,0;0,0;0,0;0,0
3;0,0;0,0;0,0;0,0
4;0,0;0,0;0,0;0,0
5;0,0;0,0;0,0;0,0
6;0,0;0,0;0,0;0,0
7;0,0;0,0;0,0;0,0
8;0,0;0,0;0,0;0,0
9;0,0;0,0;0,0;0,0
10;0,0;0,0;0,0;0,0
11;0,0;0,0;0,0;0,0
12;0,659229573703398;0,3182428012004657;0,029735457108706592;1,0002436272584214
13;0,0;0,0;0,0;0,0
14;0,0;0,0;0,0;0,0
15;0,0;0,0;0,0;0,0
16;0,0;0,0;0,0;0,0
17;0,0;0,0;0,0;0,0
18;0,0;0,0;0,0;0,0
19;0,0;0,0;0,0;0,0
20;0,0;0,0;0,0;0,0
21;0,0;0,0;0,0;0,0
22;0,0;0,0;0,0;0,0
23;0,0;0,0;0,0;0,0
24;0,0;0,0;0,0;0,0
25;0,0;0,0;0,0;0,0
26;0,0;0,0;0,0;0,0
27;1,5272873345858455;1,250104853982863;0,10662979232821039;1,001175588094721
28;0,0;0,0;0,0;0,0
29;0,0;0,0;0,0;0,0
30;0,0;0,0;0,0;0,0
31;0,0;0,0;0,0;0,0
