;p_mw;q_mvar;va_degree;vm_pu
0;0,0;0,0;0,0;0,0
1;0,0;0,0;0,0;0,0
2;0,0;0,0;0,0;0,0
3;0,0;0,0;0,0;0,0
4;0,0;0,0;0,0;0,0
5;0,0;0,0;0,0;0,0
6;0,0;0,0;0,0;0,0
7;0,0;0,0;0,0;0,0
8;0,0;0,0;0,0;0,0
9;0,0;0,0;0,0;0,0
10;0,0;0,0;0,0;0,0
11;0,0;0,0;0,0;0,0
12;0,0;0,0;0,0;0,0
13;0,0;0,0;0,0;0,0
14;0,0;0,0;0,0;0,0
15;0,8097024306732542;0,37277919670111187;0,07203362588753921;1,0010686051799216
16;0,0;0,0;0,0;0,0
17;0,0;0,0;0,0;0,0
18;0,0;0,0;0,0;0,0
19;0,0;0,0;0,0;0,0
20;0,0;0,0;0,0;0,0
21;0,0;0,0;0,0;0,0
22;0,0;0,0;0,0;0,0
23;0,0;0,0;0,0;0,0
24;0,0;0,0;0,0;0,0
25;0,0;0,0;0,0;0,0
26;0,0;0,0;0,0;0,0
27;0,0;0,0;0,0;0,0
28;0,8538872753181711;0,9169829738726546;0,07913918616070768;1,0008091499330467
29;0,0;0,0;0,0;0,0
30;0,0;0,0;0,0;0,0
31;0,0;0,0;0,0;0,0
